"Площадь, м²",Комнаты,Местоположение,Состояние,Тип дома,Этаж,Год постройки,Потолки,Цена
43.0,1.0,1,4,2,11,2014.0,2.86,20000000
67.0,2.0,1,0,2,29,2018.0,2.86,38000000
73.0,3.0,1,4,2,29,2019.0,2.86,46000000
29.67,1.0,1,0,2,30,2023.0,2.6,14241600
96.0,3.0,1,4,2,24,2015.0,2.86,47000000
54.6,2.0,1,0,2,29,2015.0,2.86,30000000
47.0,2.0,1,4,2,23,2018.0,2.86,26500000
70.4,3.0,1,4,2,2,2019.0,2.86,36000000
90.0,3.0,1,4,2,27,2015.0,2.86,56000000
57.0,2.0,1,0,2,11,2019.0,2.86,36000000
43.0,1.0,1,5,2,24,2023.0,2.86,19076512
45.0,1.0,1,4,2,29,2018.0,2.86,31000000
67.2,2.0,1,0,2,11,2018.0,2.86,33500000
64.0,2.0,1,3,2,29,2013.0,2.86,24450000
70.0,2.0,1,4,2,1,2018.0,2.86,28000000
57.6,2.0,1,4,2,11,2018.0,2.86,35800000
57.5,2.0,1,0,2,19,2023.0,2.8,26500000
38.0,1.0,1,4,2,23,2023.0,2.86,23667000
34.8,1.0,1,4,1,0,2014.0,2.86,21500000
37.0,1.0,1,0,2,1,2020.0,2.86,24500000
64.7,2.0,1,0,2,27,2015.0,2.86,36000000
55.7,2.0,1,4,2,23,2019.0,2.86,31500000
30.0,1.0,1,4,2,24,2018.0,2.86,15500000
40.7,1.0,1,4,2,24,2015.0,2.86,25500000
37.0,1.0,1,5,2,26,2022.0,2.86,16300000
44.0,1.0,1,0,2,27,2016.0,2.8,16000000
55.0,3.0,1,4,2,2,2021.0,2.86,35900000
69.6,2.0,1,4,2,19,2011.0,2.86,36000000
45.0,1.0,1,4,2,29,2017.0,2.86,24700000
45.1,1.0,1,0,2,27,2024.0,2.86,16461500
51.0,1.0,1,4,2,28,2010.0,2.86,25800000
47.0,2.0,1,0,2,24,2017.0,2.86,31500000
56.6,2.0,1,0,2,30,2024.0,2.7,19244000
41.38,1.0,1,0,2,30,2023.0,2.6,18207200
78.0,3.0,1,4,2,23,2023.0,2.86,40000000
68.0,2.0,1,4,2,24,2010.0,2.86,38000000
45.0,1.0,1,5,2,19,2023.0,2.86,20000000
47.0,2.0,1,4,2,29,2011.0,2.86,26500000
48.0,2.0,1,4,2,24,2011.0,2.86,27000000
91.0,3.0,1,4,2,29,2010.0,2.86,39000000
32.0,1.0,1,0,2,24,2023.0,2.86,23000000
48.0,1.0,1,0,2,19,2015.0,2.8,24000000
25.3,1.0,1,4,2,24,2018.0,2.86,17500000
30.0,1.0,1,4,2,19,2017.0,2.86,18000000
30.0,1.0,1,4,2,28,2022.0,2.86,20999999
43.5,1.0,1,4,2,27,2014.0,2.86,21500000
84.4,3.0,1,0,2,23,2016.0,2.86,39000000
40.0,1.0,1,4,2,24,2015.0,2.86,21000000
48.0,1.0,1,4,2,27,2018.0,2.86,26000000
62.0,2.0,1,4,2,28,2011.0,2.86,28000000
70.4,3.0,1,4,2,24,2021.0,2.86,38200000
50.5,2.0,1,4,2,19,2023.0,2.86,34500000
67.0,2.0,1,0,2,19,2018.0,2.86,35000000
67.3,2.0,1,4,0,24,2013.0,2.86,30000000
50.0,1.0,1,4,2,11,2009.0,2.86,30000000
45.1,1.0,1,5,2,11,2023.0,2.86,20500000
57.0,2.0,1,0,2,23,2019.0,2.7,35500000
29.0,1.0,1,4,2,24,2014.0,2.86,18500000
64.0,2.0,1,4,2,24,2016.0,2.86,29000000
40.0,1.0,1,4,2,29,2015.0,2.86,22990000
